,sentence,target,target_type,category,polarity,opinin_Term
0,We have gone for dinner only a few times but the same great quality and service is given .,service,explicit,SERVICE GENERAL,positive,great
1,We have gone for dinner only a few times but the same great quality and service is given .,dinner,explicit,FOOD QUALITY,positive,great quality
2,"Its dark , and cozy . . there is always jazz music playing when we go .",NULL,implicit,AMBIENCE GENERAL,positive,cozy
3,This place has great indian chinese food .,indian chinese food,explicit,FOOD QUALITY,positive,great
4,Not what I would expect for the price and prestige of this location .,location,explicit,RESTAURANT PRICES,neutral,expect
5,Not what I would expect for the price and prestige of this location .,location,explicit,RESTAURANT MISCELLANEOUS,neutral,expect
6,Finally a reliable Chinese restaurant !,Chinese restaurant,explicit,RESTAURANT GENERAL,positive,reliable
7,"The lobster knuckles ( special of the day ) were ok , but pretty tasteless .",lobster knuckles,explicit,FOOD STYLE_OPTIONS,neutral,ok
8,"The lobster knuckles ( special of the day ) were ok , but pretty tasteless .",lobster knuckles,explicit,FOOD QUALITY,negative,tasteless
9,The menu is fairly simple without much descriptions .,menu,explicit,FOOD STYLE_OPTIONS,neutral,simple
10,WORST PLACE ON SMITH STREET IN BROOKLYN,PLACE,explicit,RESTAURANT GENERAL,negative,WORST
11,"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff,explicit,SERVICE GENERAL,positive,nice
12,"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff,explicit,SERVICE GENERAL,negative,stressed
13,"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",unisex bathroom,explicit,AMBIENCE GENERAL,negative,needs to be cleaned
14,I absolutely love this place ! ! !,place,explicit,RESTAURANT GENERAL,positive,love
15,Never got an explanation as to what was going on .,NULL,implicit,SERVICE GENERAL,negative,Never got an explanation
16,"Everyone seemed generally happy with their food , except my brother who had the grilled Mahi Mahi , seemingly drenched in Grapfruit Juice !",food,explicit,FOOD QUALITY,positive,happy
17,"Everyone seemed generally happy with their food , except my brother who had the grilled Mahi Mahi , seemingly drenched in Grapfruit Juice !",grilled Mahi Mahi,explicit,FOOD QUALITY,negative,drenched
18,"Everyone seemed generally happy with their food , except my brother who had the grilled Mahi Mahi , seemingly drenched in Grapfruit Juice !",grilled Mahi Mahi,explicit,FOOD STYLE_OPTIONS,negative,drenched
19,"Excellent atmosphere , delicious dishes good and friendly service .",atmosphere,explicit,AMBIENCE GENERAL,positive,Excellent
20,"Excellent atmosphere , delicious dishes good and friendly service .",dishes,explicit,FOOD QUALITY,positive,delicious
21,"Excellent atmosphere , delicious dishes good and friendly service .",service,explicit,SERVICE GENERAL,positive,good
22,"Excellent atmosphere , delicious dishes good and friendly service .",service,explicit,SERVICE GENERAL,positive,friendly
23,"Consequently , their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them .",burgers,explicit,FOOD STYLE_OPTIONS,negative,fell apart
24,I'm partial to the Gnocchi .,Gnocchi,explicit,RESTAURANT GENERAL,positive,partial
25,The waiter was attentive .,waiter,explicit,SERVICE GENERAL,positive,attentive
26,My chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin .,chicken,explicit,FOOD QUALITY,negative,inedible
27,I completely recommend Casa La Femme for any special occasion and to REALLY impress your date .,Casa La Femme,explicit,RESTAURANT MISCELLANEOUS,positive,recommend
28,"Even though its good seafood , the prices are too high .",seafood,explicit,FOOD QUALITY,positive,good
29,"Even though its good seafood , the prices are too high .",NULL,implicit,RESTAURANT PRICES,negative,high
30,I would say that all was fine and tasty but the heaviness on my stomach someting that i ca n't not mention or undermine .,NULL,implicit,FOOD QUALITY,negative,the heaviness on my stomach someting that i ca n't not mention or undermine
31,Service not the friendliest to our `` large party `` !,Service,explicit,SERVICE GENERAL,negative,not the friendliest
32,"While the ambiance and atmosphere were great , the food and service could have been a lot better .",ambiance,explicit,AMBIENCE GENERAL,positive,great
33,"While the ambiance and atmosphere were great , the food and service could have been a lot better .",atmosphere,explicit,AMBIENCE GENERAL,positive,great
